Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Disability Pension for the Construction Workers,"Construction Workers, Disability, Financial Assistance, Labour, Pension","₹3,000/- monthly pension for permanently disabled registered workers",https://www.myscheme.gov.in/,18,60,any,any,null,Construction Worker,yes,any,any,Delhi,none,any,any,Permanently disabled registered construction workers in Delhi eligible for pension
Ex-gratia Payment for the Construction Workers,"Construction Workers, Ex-gratia Payment, Financial Assistance, Labour, Permanent Disability","₹1,00,000/- ex-gratia payment for permanent disability to registered workers",https://www.myscheme.gov.in/,18,60,any,any,null,Construction Worker,yes,any,any,Delhi,none,any,any,Registered construction workers in Delhi with permanent disability eligible for ex-gratia payment
Pension Benefit for the Construction Workers,"Construction Workers, Financial Assistance, Labour, Pension, Senior Citizens","₹3,000/- monthly pension after age 60 for registered construction workers",https://www.myscheme.gov.in/,60,none,any,any,null,Construction Worker,any,any,any,Delhi,none,any,any,Registered construction workers aged 60+ in Delhi eligible for pension
Accidental Death Assistance for the Construction Workers,"Accidental Death, Construction Workers, Financial Assistance, Labour","₹2,00,000/- assistance for accidental death of registered workers",https://www.myscheme.gov.in/,18,none,any,any,null,Construction Worker,any,any,any,Delhi,none,any,any,Registered construction workers in Delhi eligible for accidental death assistance
Transport Loan scheme,"Employment, Entrepreneurship, Loan, Safai Karamchari, scheduled Caste, scheduled Tribe, Transport",Loan up to ₹5 lakh for Light Motor Vehicles for target groups,https://www.myscheme.gov.in,18,45,any,sc,null,Entrepreneur/Transport Worker,no,any,any,Delhi,none,no,any,sc applicants including Safai Karamchari in Delhi eligible for transport loans.
Transport Loan scheme,"Employment, Entrepreneurship, Loan, Safai Karamchari, scheduled Caste, scheduled Tribe, Transport",Loan up to ₹5 lakh for Light Motor Vehicles for target groups,https://www.myscheme.gov.in,18,45,any,st,null,Entrepreneur/Transport Worker,no,any,any,Delhi,none,no,any,st applicants including Safai Karamchari in Delhi eligible for transport loans.
Transport Loan scheme,"Employment, Entrepreneurship, Loan, Safai Karamchari, scheduled Caste, scheduled Tribe, Transport",Loan up to ₹5 lakh for Light Motor Vehicles for target groups,https://www.myscheme.gov.in,18,45,any,obc,null,Entrepreneur/Transport Worker,no,any,any,Delhi,none,no,any,obc applicants including Safai Karamchari in Delhi eligible for transport loans.
Incentive for Inter-Caste Marriage scheme,"Financial Support, Inter Caste, Marriages, scheduled Caste","₹50,000/- incentive for eligible inter-caste couples (sc & non-sc spouses)",https://www.myscheme.gov.in,21,40,any,sc,null,any,no,Married,any,Delhi,none,any,any,sc individuals in inter-caste marriage with non-sc spouse and permanent resident of Delhi are eligible.
Delhi Pension scheme To Women In Distress (Widow Pension),"Distress, Pension, Social Welfare, Widow","Financial assistance to widows, divorced, separated, abandoned, or destitute women aged 18+",https://www.myscheme.gov.in/,18,none,female,any,null,any,no,"Widowed, Divorced, Separated, Abandoned",any,Delhi,none,any,any,Needy/distressed women aged 18+ in Delhi
Higher Education And Skill Development Guarantee scheme,"Financial Assistance, Guarantee scheme, Higher Education And Skill Development",Loans for diploma/degree or skill development courses in Delhi,https://www.myscheme.gov.in/,18,35,any,any,null,student,no,any,any,Delhi,none,any,any,students pursuing specified courses in Delhi
Delhi Arogya Kosh,"Arogya Kosh, Delhi, Family Health, Financial Assistance",Financial aid for treatment in Govt. or autonomous hospitals for eligible patients,https://www.myscheme.gov.in/,none,none,any,any,null,any,no,any,any,Delhi,none,any,any,Eligible patients undergoing treatment in Govt./autonomous hospitals in Delhi
Financial Assistance For Persons With Special Needs,"Disability Pension, Social Welfare",Disability pension scheme for persons with special needs in Delhi,https://www.myscheme.gov.in/,none,none,any,any,null,any,yes,any,any,Delhi,none,any,any,Persons with disabilities residing in Delhi eligible for pension
Merit Cum Means Linked Financial Assistance scheme,"Delhi, Education, Linked Financial Assistance, Merit Cum Means","Financial support for higher education in Delhi state Universities, irrespective of background",https://www.myscheme.gov.in/,17,30,any,any,null,student,no,any,any,Delhi,Graduate+,any,any,students admitted in Delhi state Universities
Old Age Assistance,"Financial Assistance, Old Age Help, Senior Citizen, Social Welfare",Monthly pensions for senior citizens in Delhi,https://www.myscheme.gov.in/,70,none,any,any,null,any,no,any,any,Delhi,none,any,any,Needy senior citizens aged above 70 in Delhi eligible for pension
Loan for the Purchase of Work Tool for the Construction Workers,"Construction Workers, Financial Assistance, Labour, Loan, Work Tool","Provides loan up to ₹20,000/- to registered construction workers for purchasing work tools",https://www.myscheme.gov.in/,18,60,any,any,null,Construction Worker,no,any,any,Delhi,none,any,any,Registered construction workers in Delhi eligible for loan
Maternity Assistance for the Construction Workers,"Construction Workers, Financial Assistance, Labour, Maternity, Medical Support","Provides ₹30,000/- maternity benefit to registered women members and wives of male members, for up to 2 children",https://www.myscheme.gov.in/,18,45,female,any,null,Construction Worker,no,"Married, Unmarried",any,Delhi,none,any,any,Registered women construction workers or wives of male members eligible
Education Assistance for the Construction Workers,"Construction Workers, Distant Learning, Financial Assistance, Graduation, ITI, Labour, LLB, Open Learning, Polytechnic, scholarship, school, students",Provides scholarship for children of registered construction workers for education ranging from school to graduation level,https://www.myscheme.gov.in/,5,25,any,any,null,student,no,any,any,Delhi,none,any,Yes,Children of registered construction workers in Delhi eligible for scholarships
Internship scheme,"Forest, Interns, Internship, student","Offers short-term internship opportunities to youth in the Department of Forests and Wildlife, GNCTD",https://www.myscheme.gov.in/,18,30,any,any,null,Youth/ student/ Intern,no,any,any,Delhi,none,any,any,Youth and students interested in internships in Delhi Forest Department
Education Loan scheme - Delhi,"College, Disability, Education, Loan, Minority, obc, scheduled Caste, scheduled Tribe, student",Offers education loans up to ₹7.5 lakh (India) & ₹15 lakh (abroad) to sc/st/obc/PwD students for technical/professional courses,https://www.myscheme.gov.in,17,35,any,any,Above ₹1 Lakh,student,yes,any,any,Delhi,Graduate+,any,any,sc/st/obc/PwD students in Delhi with family income below ₹5 lakh eligible for education loan.
Dilli Swarojgar Yojna,"Business, Employment, Entrepreneurship, Loan, Minority, scheduled Caste, scheduled Tribe",Provides loans up to ₹5 lakh at 6% interest for income-generating activities for sc/st/obc/Minority individuals,https://www.myscheme.gov.in,18,45,any,any,null,Entrepreneur/Business Owner,no,any,any,Delhi,none,any,any,sc/st/obc/Minority individuals in Delhi engaged in small business activities are eligible.
Composite Loan scheme,"Disability, Employment, Entrepreneurship, Loan, Minority, scheduled Caste, scheduled Tribe",Provides need-based loans for income-generating activities to sc/st/obc/Minorities/PwDs for self-employment,https://www.myscheme.gov.in,18,50,any,any,null,Entrepreneur/Self-employed,yes,any,any,Delhi,none,any,any,Individuals from sc/st/obc/Minority/PwD groups in Delhi interested in self-employment are eligible.
Family Pension (DBOCWWB),"Construction, Family, Labour, Pension, Worker","Provides 50% of pension or ₹1,500/- (whichever is higher) as family pension to spouse after death of a pensioner",https://www.myscheme.gov.in/,18,none,female,any,null,Construction Worker,no,Widow,any,Delhi,none,any,any,Spouse of deceased registered construction workers who were pensioners eligible
Post Matric scholarship for sc students (Delhi),"Education, scheduled Caste, scholarship, student",Provides fee reimbursement and monthly allowance for sc students pursuing post-matric education,https://www.myscheme.gov.in/,17,30,any,sc,Above ₹1 Lakh,student,no,any,any,Delhi,Graduate+,no,any,sc students in Delhi with family income below ₹2.5 lakh eligible
scholarship/Merit scholarship schools sc/st/obc/Min (studying in College/Technical/Professional Institutions),"College, schedule Tribe, scheduled Caste, scholarship, student","Monthly scholarship for sc/st/obc/Minority students in higher education, with hostel/day scholar support",https://www.myscheme.gov.in,17,30,any,any,null,student,no,any,any,Delhi,Graduate+,any,any,"scholarship for sc, st, obc, and Minority students in Delhi pursuing higher education and meeting criteria."
Reimbursement of stamp Duty and Registration Charges,"Business, Enterprise, MSME, Reimbursement",Reduces stamp duty and registration charges for MSMEs investing in backward blocks in Tamil Nadu,https://www.myscheme.gov.in/,18,60,any,any,null,MSME Owner/ Entrepreneur,no,any,any,Tamil Nadu,none,any,any,MSMEs investing in backward blocks in Tamil Nadu eligible
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,"Audit, Business, Energy, Enterprise, MSME",Provides incentives to MSMEs implementing Energy Audit recommendations to improve energy efficiency and reduce costs,https://www.myscheme.gov.in/,18,60,any,any,null,MSME Owner/ Entrepreneur,no,any,any,Tamil Nadu,none,any,any,MSMEs in Tamil Nadu implementing energy audit recommendations eligible
Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme,"Audit, Business, Energy, MSME, Training","Offers training to MSMEs on energy conservation, system improvements, and cost-saving measures",https://www.myscheme.gov.in/,18,60,any,any,null,MSME Owner/ Entrepreneur,no,any,any,Tamil Nadu,none,any,any,MSMEs in Tamil Nadu participating in energy-saving training eligible
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance scheme-I,"Financial Assistance, Gold, Rehabilitate, Remarriage, Widow",Provides financial assistance to encourage widow remarriage for rehabilitation of widows,https://www.myscheme.gov.in/,18,40,female,any,null,any,no,Widow,any,Tamil Nadu,none,any,any,Widows in Tamil Nadu opting for remarriage eligible
Annai Teresa Ninaivu Marriage Assistance scheme for Orphan Girls-I,"Girl, Gold, Marriage, Orphan",Provides financial assistance for marriage of orphan girls aged 18 years or older,https://www.myscheme.gov.in/,18,40,female,any,null,any,no,"Unmarried, Widow",any,Tamil Nadu,none,any,Yes,Orphan girls aged 18+ in Tamil Nadu eligible for marriage assistance
Chief Minister’s Girl Child Protection scheme-I,"Child, Education, Family, Financial Assistance, Girl, Poor",Provides financial assistance to girl children from poor families to promote education and prevent female infanticide,https://www.myscheme.gov.in/,0,18,female,any,null,any,no,any,any,Tamil Nadu,none,any,no,Girl children from poor families in Tamil Nadu eligible
Annai Teresa Ninaivu Marriage Assistance scheme for Orphan Girls-II,"Girl, Gold, Marriage, Orphan",Offers financial assistance for the marriage of orphan girls aged 18+ years,https://www.myscheme.gov.in/,18,40,female,any,null,any,no,"Unmarried, Widow",any,Tamil Nadu,none,any,Yes,Orphan girls aged 18+ in Tamil Nadu eligible for marriage assistance
Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance scheme-II,"Backward Class, Financial Assistance, Inter-Caste, Marriage",Provides financial aid to couples entering inter-caste marriages to promote social equality,https://www.myscheme.gov.in/,18,40,any,any,null,any,no,Married,any,Tamil Nadu,none,any,no,Newly married inter-caste couples in Tamil Nadu eligible
scheme of Extending Family Maintenance Grant to the Families of the Deceased Famous Artists,"Artist, Culture, Death, Family, Financial Assistance","Offers one-time grant of ₹25,000 to families of deceased famous artists",https://www.myscheme.gov.in/,none,none,any,any,null,any,no,any,any,Tamil Nadu,none,any,no,Families of deceased famous artists in Tamil Nadu eligible
"scheme of Extending Financial Assistance to Folk Artists, Troupes for the Purchase of Musical Instruments, Costumes","Artist, Costume, Financial Assistance, Instrument, Music","Provides ₹2,000 to individual folk artists & ₹6,000 to cultural troupes for purchasing instruments and costumes",https://www.myscheme.gov.in/,18,60,any,any,null,Folk Artist/ Cultural Troupe,no,any,any,Tamil Nadu,none,any,no,Folk artists and cultural troupes in Tamil Nadu eligible
scheme of Encouragement to Young Artists,"Artist, Culture, Financial Assistance, Remuneration, Young",Provides young artists opportunities to perform through cultural organizations and receive grants,https://www.myscheme.gov.in/,18,35,any,any,null,Young Artist,no,any,any,Tamil Nadu,none,any,no,Talented young artists in Tamil Nadu eligible
Concession in Railway Travel,"Artist, Culture, Railway, Travel",Provides railway travel concessions to individual artists and troupes via certification from Mandram,https://www.myscheme.gov.in/,18,60,any,any,null,Artist/ Cultural Troupe,no,any,any,Tamil Nadu,none,any,no,Registered artists and cultural troupes in Tamil Nadu eligible
scheme of Conferring ‘Kalaichemmal’ Awards,"Artist, Award, Exhibition, Financial Assistance",Recognizes eminent artists in painting and sculpture for their service to traditional and contemporary arts,https://www.myscheme.gov.in/,35,none,any,any,null,Painter/ sculptor,no,any,any,Tamil Nadu,none,any,no,Eminent artists in painting or sculpture in Tamil Nadu eligible
Poompuhar District Craft Award,"Craft, Financial Assistance, Prize","Awards artisans district-wise with ₹10,000 cash, silver medal, and certificate for their craftsmanship",https://www.myscheme.gov.in/,18,none,any,any,null,Artisan/ Craftsman,no,any,any,Tamil Nadu,none,any,no,Skilled artisans in Tamil Nadu eligible
Team Production Award,"Award, Group, Handicraft, Prize, Production","Awards handicraft teams producing exceptional items, with cash prizes to 3 groups every year",https://www.myscheme.gov.in/,18,none,any,any,null,Handicraft Group,no,any,any,Tamil Nadu,none,any,no,Handicraft groups in Tamil Nadu eligible
Gen Next Competition,"Artisans, Generation, Handicraft, Prize, Youngsters",Organizes craft competitions to promote traditional handicrafts among youth,https://www.myscheme.gov.in/,18,35,any,any,null,Young Artisan,no,any,any,Tamil Nadu,none,any,no,Young artisans in Tamil Nadu eligible
Living Craft Treasure Award,"Artisans, Award, Financial Assistance, Handicrafts, Senior Citizen",Highest state award for handicraft artisans aged 65+ for outstanding contributions to crafts,https://www.myscheme.gov.in/,65,none,any,any,null,Senior Artisan,no,any,any,Tamil Nadu,none,any,no,Senior handicraft artisans aged 65+ in Tamil Nadu eligible
Unemployment Allowance to Differently Abled Persons,"Differently Abled Person, Financial Assistance, Social Welfare, Unemployment",Provides unemployment allowance to registered differently-abled persons,https://www.myscheme.gov.in/,18,60,any,any,null,any,yes,any,any,Tamil Nadu,none,any,no,Registered differently-abled persons in Tamil Nadu eligible
Marriage Assistance to normal Persons Marrying Speech and Hearing Impaired Persons,"Disability, Financial Assistance, Gold, Marriage, Speech And Hearing Impaired",Offers financial assistance to couples where one spouse is speech and hearing impaired,https://www.myscheme.gov.in/,18,40,any,any,null,any,yes,Married,any,Tamil Nadu,none,no,no,Couples with one speech and hearing impaired spouse in Tamil Nadu eligible
Establishing Aavin Parlour for Differently Abled Persons,"Aavin Parlour, Differently Abled Person, Employment",Supports establishment of Aavin Parlours by differently-abled persons for self-employment.,https://www.myscheme.gov.in/,18,60,any,any,null,Self-employed/ Entrepreneur/ Differently Abled,yes,any,any,Tamil Nadu,none,any,no,Differently-abled individuals in Tamil Nadu seeking self-employment
Modified Special Wheel Chairs for Persons Affected with Cerebral Palsy,"Cerebral Palsy, Person With Disability, Social Welfare",Provides modified special wheelchairs to cerebral palsy-affected differently-abled persons.,https://www.myscheme.gov.in/,5,none,any,any,null,any,yes,any,any,Tamil Nadu,none,any,no,Differently-abled persons with cerebral palsy in Tamil Nadu
Assistance for Marriage,"Children, Differently-abled Person, Financial Assistance, Marriage","Provides ₹2,000 for marriage expenses of differently-abled persons or their children.",https://www.myscheme.gov.in/,18,40,any,any,null,any,yes,"Married, Unmarried, any",any,Tamil Nadu,none,any,Yes,Differently-abled persons or their children in Tamil Nadu
Marriage Assistance to Differently Abled Persons Marrying Differently Abled Persons,"Differently Abled Persons, Financial Assistance, Gold, Marriage",Offers financial assistance to differently-abled couples marrying each other.,https://www.myscheme.gov.in/,18,40,any,any,null,any,yes,Married,any,Tamil Nadu,none,any,no,Differently-abled couples in Tamil Nadu
Smart Phone for Hearing and Visually Impaired Persons,"Hearing Impaired, Person With Disability, Social Welfare, Visually Impaired","Provides smartphones to hearing and visually impaired students, unemployed youth, and self-employed individuals.",https://www.myscheme.gov.in/,15,45,any,any,null,student/ Unemployed/ Self-employed,yes,any,any,Tamil Nadu,none,any,no,"Hearing/visually impaired students, unemployed/self-employed persons in Tamil Nadu"
Book Binder Training by Department for the Welfare of Differently Abled Persons,"Differently Abled Person, Training, Visually Impaired",Provides bookbinding training to visually impaired candidates.,https://www.myscheme.gov.in/,18,45,any,any,null,Visually Impaired/ Trainee,yes,any,any,Tamil Nadu,none,any,no,Visually impaired persons in Tamil Nadu
Goggles by Welfare of Differently Abled Persons Department,"Differently Abled Person, Goggles, Social Welfare, Visually Challenged Person",Distributes goggles to visually impaired persons to protect against sunlight.,https://www.myscheme.gov.in/,10,none,any,any,null,Visually Impaired,yes,any,any,Tamil Nadu,none,any,no,Visually impaired persons in Tamil Nadu
Financial Assistance to non Governmental Organisations,"Children, NGO, Person With Disability, school",Provides financial assistance to NGOs running schools for children with intellectual disabilities.,https://www.myscheme.gov.in/,none,none,any,any,null,NGO/ school/ Caregiver,any,any,any,Tamil Nadu,none,any,Yes,NGOs running special schools in Tamil Nadu
"Early Intervention Centre for Children with Cerebral Palsy in SRTC, Chennai and Tiruchirapalli Districts","Cerebral Palsy, Children, Differently Abled Person, Infants",Provides stimulation training to children affected with cerebral palsy.,https://www.myscheme.gov.in/,0,6,any,any,null,Child/ Patient,yes,any,any,Tamil Nadu,none,any,Yes,Children with cerebral palsy in specified districts of Tamil Nadu
Journalists’ Family Benefit Fund,"Death, Diseases, Family, Financial Assistance, Journalist",Provides financial assistance to families of journalists who died in service with 20+ years of experience.,https://www.myscheme.gov.in/,none,none,any,any,null,Journalist,no,any,any,Tamil Nadu,none,any,no,Families of deceased journalists with 20+ years of service in Tamil Nadu
Pension for Journalists’ Family,"Death, Pension, Spouse, Widow",Provides monthly pension to the wife of a deceased journalist pensioner.,https://www.myscheme.gov.in/,40,none,female,any,null,Spouses of deceased journalists,no,Widow,any,Tamil Nadu,none,any,no,Spouses of deceased journalist pensioners in Tamil Nadu
Destitute Differently Abled Pension scheme,"Clothes, Destitute, Differently Abled Person, Financial Assistance, Pension","Provides ₹1,000 monthly pension to destitute differently-abled persons aged 45+ with 60%+ disability.",https://www.myscheme.gov.in/,45,none,any,any,null,Differently-abled persons,yes,any,any,Tamil Nadu,none,any,no,"Destitute differently-abled persons (45+ years, 60%+ disability)"
Destitute Agricultural Labourers Pension scheme,"Clothes, Destitute, Farmer, Financial Assistance, Labour, Senior Citizen","Provides ₹1,000 monthly pension and clothes to destitute agricultural laborers aged 60+.",https://www.myscheme.gov.in/,60,none,any,any,null,Agricultural labourers,no,any,any,Tamil Nadu,none,any,no,Destitute agricultural labourers aged 60+ in Tamil Nadu
Child Adoption - Tamil Nadu,"Accommodation, Adoption, Child, NGO, Parents","Facilitates adoption of orphaned, abandoned, destitute, and neglected children.",https://www.myscheme.gov.in/,0,18,any,any,null,Orphaned/abandoned children,no,any,any,Tamil Nadu,none,any,Yes,"Orphaned, abandoned, destitute, and neglected children in Tamil Nadu"
Distribution of Certified Seeds-Oil Seeds,"Agriculture, Farmer, Oil Seeds, Seed Distribution, Subsidy",Provides subsidies for farmers purchasing certified oil seeds to improve yield.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers in Tamil Nadu
Farmers Interest Group (FIG),"Agriculture, Farmer, Farmers Interest Group, FIG","Supports farmers' groups with grants for equipment, training, ID cards, and meetings.",https://www.myscheme.gov.in/,18,none,any,any,null,Groups of 15 farmers,no,any,any,Tamil Nadu,none,any,no,Groups of 15 farmers in Tamil Nadu
Distribution of Rhizobium,"Agriculture, Farmer, Rhizobium, Subsidy",Offers Rhizobium subsidy for farmers raising seed farms with pulse crops.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers cultivating pulses,no,any,any,Tamil Nadu,none,any,no,Farmers cultivating pulses in Tamil Nadu
Micro Nutrient Spray,"Agriculture, Farmer, Micro Nutrient Spray, Subsidy","Provides 50% subsidy (₹70/ha) on micronutrient spray, with priority to sc/st and women farmers.",https://www.myscheme.gov.in,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers in Tamil Nadu eligible; priority given to sc/st and women farmers.
Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,"Agriculture, Block Demonstration, Farmer, Groundnut, Polythene Mulch Technology",Financial assistance to farmers adopting polythene mulch technology in groundnut farming.,https://www.myscheme.gov.in/,18,none,any,any,null,Groundnut farmers,no,any,any,Tamil Nadu,none,any,no,Groundnut farmers in Tamil Nadu
Organizing Block Demonstration Through Department And Also Through TNAU,"Agriculture, Block Demonstration, Farmer, Maize",Grants to farmers for maize cultivation demonstrations on 1-hectare plots.,https://www.myscheme.gov.in/,18,none,any,any,null,Maize farmers,no,any,any,Tamil Nadu,none,any,no,Maize farmers in Tamil Nadu
Pipes Carrying Water From Source To Field-Pulses ISPOM,"Agriculture, Farmer, Irrigation, Pipes, Pulses ISPOM","Subsidizes installation of pipes (up to ₹15,000 or 50% cost) for irrigation in pulse farms.",https://www.myscheme.gov.in/,18,none,any,any,null,Farmers cultivating pulses,no,any,any,Tamil Nadu,none,any,no,Farmers cultivating pulses in Tamil Nadu
Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,"Adi Dravidar, Education, Financial Assistance, students, Tribal Welfare","Incentives to one boy and one girl from Adi Dravidar, Tribal, and Adi Dravidar converted Christian communities who topped 10th & 12th exams.",https://www.myscheme.gov.in,15,19,any,any,null,students,no,any,any,Tamil Nadu,studying 10th & 12th,any,no,"scheme is for sc, st, and Converted Christian students in Tamil Nadu topping 10th & 12th exams."
"Seed Multiplication scheme of Paddy, Millets, Pulses, Oilseeds and Cotton","Agriculture, Crops, Farmer, Paddy, Seed Multiplication",Provides subsidies to farmers producing seeds under contract with Agriculture Department.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers producing seeds under Agriculture Dept contract in Tamil Nadu
Quality Paddy Seed Distribution,"Agriculture, Farmer, Paddy, Seed Production",Offers ₹5 per kg subsidy on certified paddy seeds.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers in Tamil Nadu
Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,"Adi Dravidar, Education, Incentive, Prizes, students, Tribal Welfare","Cash awards to Adi Dravidar, Tribal, and Converted Christian students for academic excellence in 10th & 12th exams.",https://www.myscheme.gov.in,15,19,any,any,null,students,no,any,any,Tamil Nadu,studying 10th & 12th,any,no,"scheme is for sc, st, and Converted Christian students in Tamil Nadu achieving academic excellence in 10th & 12th exams."
Adi Dravidar and Tribal Welfare Department: stationary-Text Books,"Adi Dravidar, Education, Text Books, Tribal Welfare",Provides free textbooks to students from Class 1 to 12 in Adi Dravidar schools.,https://www.myscheme.gov.in,6,18,any,sc,null,students,no,any,any,Tamil Nadu,students Class 1 to 12,any,no,students in Adi Dravidar schools in Tamil Nadu eligible for free textbooks.
Adi Dravidar and Tribal Welfare Department: stationary-Text Books,"Adi Dravidar, Education, Text Books, Tribal Welfare",Provides free textbooks to students from Class 1 to 12 in Tribal welfare schools.,https://www.myscheme.gov.in,6,18,any,st,null,students,no,any,any,Tamil Nadu,students Class 1 to 12,any,no,students in Tribal welfare schools in Tamil Nadu eligible for free textbooks.
Afforestation schemes Providing Incentives And Employment To Tribals In Forest,"Afforestation, Employment, Incentives, Tribal Welfare",Provides employment and incentives to unemployed tribals for afforestation work.,https://www.myscheme.gov.in,18,none,any,st,null,Unemployed tribals,no,any,any,Tamil Nadu,none,any,no,Unemployed tribal members in Tamil Nadu eligible for employment and incentives.
Animal Husbandry,"Animal Husbandry, Animals Health Cover, Artificial Insemination, Distribution Of Sheep Units, Tribal Welfare","Offers subsidies for distribution of sheep, milch animals, calves, and provides health cover and AI services.",https://www.myscheme.gov.in,18,none,any,st,null,Tribal farmers,no,any,any,Tamil Nadu,none,any,no,Tribal communities in Tamil Nadu eligible for subsidies and services.
Free Education scholarship for Professional Courses,"Education, Minority Welfare, scholarship","Covers full fees for BC, MBC, and DNC students in professional courses (Engineering, Medical, Agriculture, Veterinary, and Law).",https://www.myscheme.gov.in,17,25,any,obc,null,students,no,any,any,Tamil Nadu,Professional Courses,any,no,"obc students (including BC, MBC, DNC) in Tamil Nadu eligible for full fee scholarships."
Free Education scholarship for Three-Year Diploma (Polytechnic Courses),"Diploma, Education, Minority Welfare, Polytechnic Courses, scholarship","Provides free education scholarships for 3-year diploma courses for BC, MBC, DNC students.",https://www.myscheme.gov.in,15,22,any,obc,null,students,no,any,any,Tamil Nadu,3-year Diploma Courses,any,no,"obc students (including BC, MBC, DNC) in Tamil Nadu eligible for scholarships."
Rural Girls’ Incentive scheme,"Incentive, Rural Development, scholarship, student Finance",Provides financial aid to rural girl students from MBC and DNC communities to reduce dropouts.,https://www.myscheme.gov.in,12,18,female,obc,null,students,no,any,any,Tamil Nadu,Rural girl students,any,no,Rural girl students from obc communities (including MBC and DNC) in Tamil Nadu eligible.
Perarignar Anna Memorial Award,"Cash Award, Education, Minority Welfare, scholarship","Offers financial aid to top two rank holders in 12th public exams from BC, MBC, DNC communities per district.",https://www.myscheme.gov.in,16,19,any,obc,null,students,no,any,any,Tamil Nadu,12th standard (top rankers),any,no,"obc students (including BC, MBC, DNC) ranking top two in 12th public exams per district in Tamil Nadu."
Primary Cooperative Agriculture and Rural Development Bank: For Animal Husbandry,"Agriculture, Animal Husbandry Loan, Farmer",Provides loans for animal husbandry to farmers.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers in Tamil Nadu
District Central Cooperative Banks: For SSI Unit Loan and Other NFS Activities,"Agriculture, Industries, non-Farm Sector Activities, SSI Unit Loan",Provides financial assistance for SSI unit loans and NFS activities.,https://www.myscheme.gov.in/,18,none,any,any,null,Entrepreneurs/ SSI units,no,any,any,Tamil Nadu,"Entrepreneurs, SSI units",any,no,Entrepreneurs and SSI units in Tamil Nadu
Large Sized Multi-Purpose Cooperative Society: Medium Term Loan to Tribal Members,"Cooperative Society, Interest Free Loan, Medium Term Loan, Tribal Welfare","Provides up to ₹60,000 interest-free medium-term loans to tribal members.",https://www.myscheme.gov.in,18,none,any,st,null,Tribal members,no,any,any,Tamil Nadu,none,any,no,Tribal members in Tamil Nadu eligible for medium-term loans.
Free Education scheme,"Backward Class, scholarship, student Finance","Financial support for 3-year UG courses in government and aided colleges for BC, MBC, and DNC students.",https://www.myscheme.gov.in,17,22,any,obc,null,students,no,any,any,Tamil Nadu,Under Graduate courses,any,no,"obc category students, including BC, MBC, and DNC, in Tamil Nadu pursuing 3-year UG courses are eligible."
Primary Cooperative Agriculture and Rural Development Bank: For Sericulture in Irrigated Area,"Agriculture And Rural Development Bank, Farmer, Irrigated Area, Loan, Sericulture","Loans for sericulture in irrigated areas (₹49,000 to ₹79,000 per acre at ~11%-12.75% interest).",https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers engaged in sericulture in irrigated areas in Tamil Nadu
Primary Cooperative Agriculture and Rural Development Bank: For Inland Fishing,"Agriculture And Rural Development Bank, Farmer, Inland Fishing, Loan","Loans up to ₹3,30,000 per hectare for inland fishing (interest ~11%-12%).",https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers involved in inland fishing in Tamil Nadu
Primary Cooperative Agriculture and Rural Development Bank: For Power Tiller,"Agriculture And Rural Development Bank, Farmer, Farming Equipment, Loan, Power Tiller",Loans covering 90% of the cost of power tillers (~11%-12.25% interest).,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers,no,any,any,Tamil Nadu,none,any,no,Farmers purchasing power tillers in Tamil Nadu
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance scheme-1,"Bride, Financial Assistance, Gold, Marriage, Social Welfare","₹25,000 and an 8-gram gold coin for marriage of girls with at least Class 10 education (post-May 17, 2011 marriages).",https://www.myscheme.gov.in/,18,none,female,any,null,any,no,Unmarried,any,Tamil Nadu,Minimum Class 10 education,any,no,"Girls in Tamil Nadu marrying after May 17, 2011 with at least Class 10"
